"","est","se","lwr","upr"
"Mean",207.458754698297,0.631082685294,206.22183263512,208.695676761473
"Year1964",-14.6359744009628,2.22726844400952,-19.0014205512215,-10.2705282507041
"Year1965",-13.0433055463133,1.80912698002095,-16.5891944271543,-9.49741666547222
"Year1966",-12.132032539611,1.81313068390781,-15.6857686800703,-8.57829639915171
"Year1967",-13.9115163267319,1.56416176021878,-16.9772733767607,-10.8457592767031
"Year1968",-4.77337227292556,1.59472399702462,-7.89903130709382,-1.64771323875729
"Year1969",-8.9553257343311,1.68345523998504,-12.2548980047018,-5.65575346396043
"Year1970",-14.96366649942,1.91805278265881,-18.7230499534313,-11.2042830454088
"Year1971",-16.236035625343,1.83346187979648,-19.8296209097441,-12.6424503409419
"Year1972",-10.5918348627558,1.80112805902239,-14.1220458584397,-7.06162386707193
"Year1973",1.53946896627954,1.83585618767308,-2.05880916155969,5.13774709411877
"Year1974",2.26863940982578,1.84538269904011,-1.34831068029283,5.88558949994439
"Year1980",-4.8419912840787,1.76705376531662,-8.30541666409928,-1.37856590405813
"Year1981",-0.54520859267599,1.68036358997757,-3.83872122903203,2.74830404368005
"Year1982",-4.73792078800276,1.61731185199517,-7.9078520179133,-1.56798955809222
"Year1983",0.96897209805011,1.58835415642451,-2.14420204854193,4.08214624464215
"Year1984",-10.5785889852211,1.6901118529313,-13.8912082169665,-7.26596975347577
"Year1985",3.96979766879054,1.66499013658334,0.706417001087187,7.23317833649389
"Year1986",0.977037442259555,1.70160496744194,-2.35810829392664,4.31218317844575
"Year1987",5.14363237520864,1.6117828641715,1.9845379614325,8.30272678898478
"Year1988",4.49406086852965,1.66799137237619,1.22479777867232,7.76332395838699
"Year1989",-1.7427980239049,1.65206077544824,-4.98083714378345,1.49524109597366
"Year1990",4.01463696053484,1.74751129830068,0.589514815865493,7.43975910520418
"Year1991",7.99030458714549,1.78895140793949,4.48395982758408,11.4966493467069
"Year1992",10.3156654887526,1.90371040257336,6.58439309970878,14.0469378777963
"Year1993",12.3576112364843,1.96753512490581,8.5012423916689,16.2139800812997
"Year1994",3.09817803165088,2.08746612010015,-0.993255563745417,7.18961162704718
"Year1995",5.28907515138256,1.92734002483201,1.51148870271183,9.06666160005329
"Year1996",2.36251861878692,2.05649085794196,-1.66820346277931,6.39324070035316
"Year1997",18.8648660139378,1.97204764601342,14.9996526277515,22.7300794001241
"Year1998",6.51414883765769,1.89129451150686,2.80721159510424,10.2210860802111
"Year1999",5.31718125847732,1.8620809617418,1.6675025734634,8.96685994349125
"Year2000",4.9243248814829,1.75692162589069,1.48075849473716,8.36789126822865
"Year2001",2.42725170762019,1.67078077537966,-0.84747861212394,5.70198202736432
"Year2002",2.50863763051156,1.59932775031371,-0.626044760103308,5.64332002112642
"Year2003",-1.50607554234372,1.80328913558417,-5.0405222480887,2.02837116340125
"Year2004",4.51212787270729,1.82214302881268,0.940727536234442,8.08352820918014
"Year2005",-1.22705962085592,1.75316695453833,-4.66326685175106,2.20914761003921
"Year2006",10.1340248395415,1.7685585911001,6.66765000098532,13.6003996780977
"Year2007",-3.12099839808392,1.81697048956628,-6.68226055763384,0.440263761465991
"Year2008",2.85110851025268,1.99506492503723,-1.05921874282029,6.76143576332566
"Year2009",9.72411147351452,2.00336090358618,5.79752410248561,13.6506988445434
"Year2010",4.97632311417661,2.12518804299706,0.810954549902373,9.14169167845085
"LocL024",2.87460925937031,0.795259742528853,1.31590016401376,4.43331835472686
"LocL025",7.17186222119113,0.604137295993131,5.98775312104459,8.35597132133767
"LocL034",-3.03379288361255,1.17259100799998,-5.33207125929251,-0.735514507932585
"LocL035",-1.21799650981206,0.90455188545077,-2.99091820529557,0.554925185671449
"LocL036",-0.14448339642292,0.599743250586131,-1.31998016757174,1.0310133747259
"LocL037",-3.29593849052347,1.02466960985237,-5.30429092583412,-1.28758605521282
"LocL075",3.43716871493638,0.633289787162875,2.19592073209714,4.67841669777562
"LocL087",2.11126647934354,0.607205242940163,0.92114420318082,3.30138875550626
"LocL019",1.58206866592758,0.603685834055535,0.398844431178733,2.76529290067643
"LocL029",0.0591404938637727,2.442507026207,-4.72817327750194,4.84645426522949
"LocL093",5.9187308418076,1.02787310662317,3.90409955282619,7.93336213078901
"LocL030",3.66091572095132,0.768552569268123,2.1545526851858,5.16727875671685
"LocL176",-15.9913495308029,2.71862535487796,-21.3198552263637,-10.6628438352421
"LocL023",2.95098286672021,0.833556888451658,1.31721136535496,4.58475436808545
"LocL027",-6.71934682750414,2.7664017270225,-12.1414942124682,-1.29719944254004
"LocL184",11.401955896546,0.862955877022791,9.71056237758132,13.0933494155107
"LocL012",-7.76710875037744,1.31675046908901,-10.3479396697919,-5.18627783096297
"LocL155",-2.9986847716024,1.36081478919497,-5.66588175842454,-0.331487784780261
